trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.09, 'e': 0.5696012024771595}",25,0,-6.744970557743106,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
57,False,"{'a': 0.09, 'e': 0.563905190452388}",20,0,-25.250175257764823,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.09, 'e': 0.5582661385478641}",20,0,-34.29314907323286,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
59,False,"{'a': 0.09, 'e': 0.5526834771623854}",20,0,-26.86155199751913,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
60,False,"{'a': 0.09, 'e': 0.5471566423907616}",20,0,6.3629959594048,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.09, 'e': 0.5416850759668539}",30,10,-58.28463255818292,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
62,False,"{'a': 0.09, 'e': 0.5362682252071853}",25,0,-109.80153668197983,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",1
63,False,"{'a': 0.09, 'e': 0.5309055429551135}",20,13,9.54654955627801,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.09, 'e': 0.5255964875255623}",25,0,-51.392829663461946,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
65,False,"{'a': 0.09, 'e': 0.5203405226503067}",35,16,-141.4543361122153,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 3}",1
66,False,"{'a': 0.09, 'e': 0.5151371174238036}",25,0,-89.39096315695292,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
67,False,"{'a': 0.09, 'e': 0.5099857462495656}",25,0,-12.772972369492148,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.09, 'e': 0.50488588878707}",20,0,-64.16877696964782,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.09, 'e': 0.49983702989919926}",25,0,-108.22980688121433,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
70,False,"{'a': 0.09, 'e': 0.4948386596002073}",25,0,-26.240805465817424,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
